Store,Dept,Date,Weekly_Pred,IsHoliday
1.0,1.0,2011-11-04,31995.4838640588,False
1.0,1.0,2011-11-11,17179.260917780048,False
1.0,1.0,2011-11-18,17796.52872874873,False
1.0,1.0,2011-11-25,16702.995751362352,True
1.0,1.0,2011-12-02,22000.852058756223,False
1.0,1.0,2011-12-09,30790.358695114555,False
1.0,1.0,2011-12-16,44312.575744397065,False
1.0,1.0,2011-12-23,52076.22449448495,False
1.0,1.0,2011-12-30,19367.741406464367,True
1.0,2.0,2011-11-04,45696.28345322827,False
1.0,2.0,2011-11-11,42953.46862165629,False
1.0,2.0,2011-11-18,42841.24293252988,False
1.0,2.0,2011-11-25,42547.15956445543,True
1.0,2.0,2011-12-02,43236.09440531631,False
1.0,2.0,2011-12-09,46675.40723330681,False
1.0,2.0,2011-12-16,49326.81407647408,False
1.0,2.0,2011-12-23,59433.19853937767,False
1.0,2.0,2011-12-30,37642.8516708146,True
1.0,3.0,2011-11-04,9224.515696189734,False
1.0,3.0,2011-11-11,9587.200844593248,False
1.0,3.0,2011-11-18,9547.223611946583,False
1.0,3.0,2011-11-25,10525.65081394454,True
1.0,3.0,2011-12-02,11211.84001363839,False
1.0,3.0,2011-12-09,12745.87274865866,False
1.0,3.0,2011-12-16,14179.475095908523,False
1.0,3.0,2011-12-23,14909.008667101169,False
1.0,3.0,2011-12-30,8426.682905025917,True
1.0,4.0,2011-11-04,37888.58579083208,False
1.0,4.0,2011-11-11,35615.634946544786,False
1.0,4.0,2011-11-18,37849.13203445602,False
1.0,4.0,2011-11-25,44603.99174929959,True
1.0,4.0,2011-12-02,36240.83749000171,False
1.0,4.0,2011-12-09,37181.15751879361,False
1.0,4.0,2011-12-16,38623.94873486717,False
1.0,4.0,2011-12-23,46286.46134019554,False
1.0,4.0,2011-12-30,36679.18551683378,True
1.0,5.0,2011-11-04,25560.260251647705,False
1.0,5.0,2011-11-11,25605.76810784629,False
1.0,5.0,2011-11-18,27137.5674594272,False
1.0,5.0,2011-11-25,71353.98779001032,True
1.0,5.0,2011-12-02,37542.23088504039,False
1.0,5.0,2011-12-09,51531.141106854106,False
1.0,5.0,2011-12-16,59819.67603052818,False
1.0,5.0,2011-12-23,86480.21501507073,False
1.0,5.0,2011-12-30,34289.89640188504,True
1.0,6.0,2011-11-04,3664.872558147306,False
1.0,6.0,2011-11-11,2713.949661828004,False
1.0,6.0,2011-11-18,3404.1639905703573,False
1.0,6.0,2011-11-25,19043.95478223509,True
1.0,6.0,2011-12-02,5192.969385112062,False
1.0,6.0,2011-12-09,6698.640518501991,False
1.0,6.0,2011-12-16,12143.201926367485,False
1.0,6.0,2011-12-23,26670.462745031953,False
1.0,6.0,2011-12-30,4679.112609878985,True
1.0,7.0,2011-11-04,16055.152242865894,False
1.0,7.0,2011-11-11,19071.96584092315,False
1.0,7.0,2011-11-18,25071.716033765828,False
1.0,7.0,2011-11-25,67967.60211212562,True
1.0,7.0,2011-12-02,47525.78406756326,False
1.0,7.0,2011-12-09,66401.2286030287,False
1.0,7.0,2011-12-16,97441.34692770944,False
1.0,7.0,2011-12-23,161988.1584376035,False
1.0,7.0,2011-12-30,27793.030532739707,True
1.0,8.0,2011-11-04,37543.52469210091,False
1.0,8.0,2011-11-11,34579.17656739548,False
1.0,8.0,2011-11-18,35950.54691075362,False
1.0,8.0,2011-11-25,33899.011882513936,True
1.0,8.0,2011-12-02,35903.16638945864,False
1.0,8.0,2011-12-09,35799.7979034225,False
1.0,8.0,2011-12-16,36974.931834095856,False
1.0,8.0,2011-12-23,40506.39053635278,False
1.0,8.0,2011-12-30,33561.607078068744,True
1.0,9.0,2011-11-04,40522.85807737048,False
1.0,9.0,2011-11-11,35299.8503094409,False
1.0,9.0,2011-11-18,33935.238043322846,False
1.0,9.0,2011-11-25,44112.97516472001,True
1.0,9.0,2011-12-02,28632.449275196566,False
1.0,9.0,2011-12-09,28823.798508206302,False
1.0,9.0,2011-12-16,30287.578829733924,False
1.0,9.0,2011-12-23,46233.82816551477,False
1.0,9.0,2011-12-30,22927.298574468747,True
1.0,10.0,2011-11-04,31270.28964441753,False
1.0,10.0,2011-11-11,27628.33793712705,False
1.0,10.0,2011-11-18,27676.771974897427,False
1.0,10.0,2011-11-25,28700.308471120145,True
